release,distributor,seasons,adjusted_gross
I'm Gonna Git You Sucka,United Artists,holiday season,27226827
"I, Robot",Twentieth Century Fox,summer,234577657
I.Q.,Paramount Pictures,holiday season,34913933
Ice Age,Twentieth Century Fox,spring,298094714
Ice Age: Collision Course,Twentieth Century Fox,summer,80719390
Ice Age: Continental Drift,Twentieth Century Fox,summer,212704270
Ice Age: Dawn of the Dinosaurs,Twentieth Century Fox,summer,279134661
Ice Age: The Meltdown,Twentieth Century Fox,spring,294949237
Iceman,Universal Pictures,spring,21588514
Identity,Sony Pictures Entertainment (SPE),spring,86097617
Identity Thief,Universal Pictures,winter,174858996
If I Stay,Warner Bros.,summer,64607799
If You Could See What I Hear,-,spring,27558433
Immortals,Relativity Media,holiday season,112340090
Impractical Jokers: The Movie,truTV,winter,12140665
In & Out,Paramount Pictures,fall,120051026
In God We Trust (or Gimme That Prime Time Religion),Universal Pictures,fall,20077807
In Good Company,Universal Pictures,holiday season,71741919
In Her Shoes,Twentieth Century Fox,fall,51541024
In Time,Twentieth Century Fox,fall,50336498
In the Army Now,Walt Disney Studios Motion Pictures,summer,59206595
In the Bedroom,Miramax,holiday season,57434715
In the Heart of the Sea,Warner Bros.,holiday season,29521132
In the Heights,Warner Bros.,summer,34102739
In the Line of Fire,Columbia Pictures,summer,214861128
In the Name of the Father,Universal Pictures,holiday season,51373838
Inception,Warner Bros.,summer,403730299
Inchon,Metro-Goldwyn-Mayer (MGM),fall,16487125
Incredibles 2,Walt Disney Studios Motion Pictures,summer,736383910
Indecent Proposal,Paramount Pictures,spring,223889523
Independence Day,Twentieth Century Fox,summer,593942814
Independence Day: Resurgence,Twentieth Century Fox,summer,129961800
Indian Summer,Walt Disney Studios Motion Pictures,spring,31300311
Indiana Jones and the Kingdom of the Crystal Skull,Paramount Pictures,summer,450283588
Indiana Jones and the Last Crusade,Paramount Pictures,summer,487014360
Indiana Jones and the Temple of Doom,Paramount Pictures,summer,528818596
Inferno,Sony Pictures Entertainment (SPE),fall,43119280
Infidel,Cloudburst Entertainment,fall,4700308
Inglourious Basterds,The Weinstein Company,summer,171167820
Innerspace,Warner Bros.,summer,69654348
Inside Man,Universal Pictures,spring,133655377
Inside Out,Walt Disney Studios Motion Pictures,summer,456270990
Insidious,FilmDistrict,spring,73452444
Insidious: Chapter 2,FilmDistrict,fall,108662381
Insidious: Chapter 3,Focus Features,summer,66839754
Insidious: The Last Key,Universal Pictures,holiday season,81971849
Insomnia,Warner Bros.,summer,113830816
Inspector Gadget,Walt Disney Studios Motion Pictures,summer,177273663
Instant Family,Paramount Pictures,holiday season,78462457
Instinct,Walt Disney Studios Motion Pictures,summer,62071476
Instructions Not Included,Lionsgate,summer,57807367
Internal Affairs,Paramount Pictures,winter,65175818
Intersection,Paramount Pictures,winter,43779580
Interstellar,Paramount Pictures,holiday season,229616505
Interview with the Vampire: The Vampire Chronicles,Warner Bros.,holiday season,204678769
Into the Storm,Warner Bros.,summer,60930808
Into the Woods,Walt Disney Studios Motion Pictures,holiday season,163843036
Intolerable Cruelty,Universal Pictures,fall,58191691
Invasion U.S.A.,Cannon Film Distributors,fall,49802967
Invincible,Walt Disney Studios Motion Pictures,summer,87287144
Ip Man 4: The Finale,Well Go USA Entertainment,holiday season,2528882
Iron Eagle,TriStar Pictures,winter,65956450
Iron Eagle II,TriStar Pictures,holiday season,27188069
Iron Man,Paramount Pictures,spring,452004742
Iron Man 2,Paramount Pictures,summer,431157996
Iron Man 3,Walt Disney Studios Motion Pictures,spring,531718192
Iron Will,Walt Disney Studios Motion Pictures,winter,43063040
Irreconcilable Differences,Warner Bros.,fall,36497777
Ishtar,Columbia Pictures,summer,38669236
Isle of Dogs,-,spring,38738429
Isn't It Romantic,Warner Bros.,winter,58061512
It,Warner Bros.,fall,402802550
It Chapter Two,Warner Bros.,fall,251795941
It Could Happen to You,TriStar Pictures,summer,77776501
It Takes Two,Warner Bros.,holiday season,38754432
It's Complicated,Universal Pictures,holiday season,157189851
J. Edgar,Warner Bros.,holiday season,49630549
JFK,Warner Bros.,holiday season,153783668
Jack,Walt Disney Studios Motion Pictures,summer,113724687
Jack Frost,Warner Bros.,holiday season,51775511
Jack Reacher,Paramount Pictures,holiday season,105042969
Jack Reacher: Never Go Back,Paramount Pictures,fall,73769140
Jack Ryan: Shadow Recruit,Paramount Pictures,winter,64739087
Jack and Jill,Sony Pictures Entertainment (SPE),holiday season,97424807
Jack the Giant Slayer,Warner Bros.,winter,84743883
Jackass 3D,Paramount Pictures,fall,161532978
Jackass Forever,Paramount Pictures,winter,61208058
Jackass Number Two,Paramount Pictures,fall,109895855
Jackass Presents: Bad Grandpa,Paramount Pictures,fall,131739086
Jackass: The Movie,Paramount Pictures,fall,108309375
Jackie Brown,Miramax,holiday season,73922478
Jacob's Ladder,TriStar Pictures,fall,61379299
Jagged Edge,Columbia Pictures,fall,114994908
James and the Giant Peach,Walt Disney Studios Motion Pictures,spring,56155486
Jarhead,Universal Pictures,holiday season,98003756
Jason Bourne,Universal Pictures,summer,204667356
Jason Goes to Hell: The Final Friday,New Line Cinema,summer,33463642
Jason's Lyric,Gramercy Pictures (I),fall,42745618
Jaws 21980 Re-release,Universal Pictures,winter,15510629
Jaws 3-D,Universal Pictures,summer,139282188
Jaws: The Revenge,Universal Pictures,summer,55852504
Jay and Silent Bob Reboot,Saban Films,fall,994983
Jay and Silent Bob Strike Back,Miramax,summer,51445601
Jeepers Creepers,United Artists,summer,64816139
Jeepers Creepers 2,United Artists,summer,58849315
Jennifer 8,Paramount Pictures,holiday season,24717339
Jerry Maguire,Sony Pictures Entertainment (SPE),holiday season,293371421
Jersey Boys,Warner Bros.,summer,60220176
Jersey Girl,Miramax,spring,40975107
Jetsons: The Movie,Universal Pictures,summer,47718726
Jigsaw,Lionsgate,fall,46804983
Jimmy Neutron: Boy Genius,Paramount Pictures,holiday season,137696266
Jingle All the Way,Twentieth Century Fox,holiday season,104953747
"Jo Jo Dancer, Your Life Is Calling",Columbia Pictures,spring,49233229
Joe Dirt,Sony Pictures Entertainment (SPE),spring,46319958
Joe Versus the Volcano,Warner Bros.,spring,84606450
John Carter,Walt Disney Studios Motion Pictures,spring,96463092
John Q,New Line Cinema,winter,121268995
John Tucker Must Die,Twentieth Century Fox,summer,61927683
John Wick,Lionsgate,fall,54810152
John Wick: Chapter 2,Lionsgate,winter,113195896
John Wick: Chapter 3 - Parabellum,Lionsgate,summer,203508667
Johnny Be Good,Orion Pictures,spring,45455533
Johnny Dangerously,Twentieth Century Fox,holiday season,49368307
Johnny English,Universal Pictures,summer,46335903
Johnny Mnemonic,Sony Pictures Entertainment (SPE),summer,37960682
Johnson Family Vacation,-,spring,50550421
Jojo Rabbit,-,fall,14280968
Joker,Warner Bros.,fall,399136695
Journey 2: The Mysterious Island,Warner Bros.,winter,137095582
Journey to the Center of the Earth,Warner Bros.,summer,144420205
Joy,Twentieth Century Fox,holiday season,71694753
Joy Ride,Twentieth Century Fox,fall,37577111
Judas and the Black Messiah,Warner Bros.,winter,6232368
Judge Dredd,Walt Disney Studios Motion Pictures,summer,69040027
Judy,Roadside Attractions,fall,28580878
Juice,Paramount Pictures,winter,43718729
Jujutsu Kaisen 0,Crunchyroll,spring,36615319
Julie & Julia,Sony Pictures Entertainment (SPE),summer,133658104
Jumanji,Sony Pictures Entertainment (SPE),holiday season,195864364
Jumanji: The Next Level,Sony Pictures Entertainment (SPE),holiday season,373287080
Jumanji: Welcome to the Jungle,Sony Pictures Entertainment (SPE),holiday season,495133251
Jumper,Twentieth Century Fox,winter,113844421
Jumpin' Jack Flash,Twentieth Century Fox,fall,81474395
Jumping the Broom,TriStar Pictures,summer,50721735
Jungle 2 Jungle,Walt Disney Studios Motion Pictures,spring,112663921
Jungle Cruise,Walt Disney Studios Motion Pictures,summer,133365768
Jungle Fever,Universal Pictures,summer,72111554
Junior,Universal Pictures,holiday season,61534296
Juno,-,holiday season,205438862
Jupiter Ascending,Warner Bros.,winter,60656285
Jurassic Park,Universal Pictures,summer,748935773
Jurassic Park III,Universal Pictures,summer,309803906
Jurassic Park2013 Re-release,Universal Pictures,spring,59001715
Jurassic Park2020 Re-release,Universal Pictures,summer,1608456
Jurassic World,Universal Pictures,summer,834906400
Jurassic World Dominion,Universal Pictures,summer,399462144
Jurassic World: Fallen Kingdom,Universal Pictures,summer,505440909
Jury Duty,Sony Pictures Entertainment (SPE),spring,33859159
Just Cause,Warner Bros.,winter,73337911
Just Friends,New Line Cinema,holiday season,49245500
Just Go with It,Sony Pictures Entertainment (SPE),winter,140118228
Just Like Heaven,DreamWorks Distribution,fall,75859464
Just Married,Twentieth Century Fox,winter,92609817
Just Mercy,Warner Bros.,holiday season,41451000
Just One of the Guys,Columbia Pictures,spring,32742076
Just Tell Me What You Want,Warner Bros.,winter,8034584
Just the Way You Are,Metro-Goldwyn-Mayer (MGM),holiday season,23195700
Justice League,Warner Bros.,holiday season,277421942
Justin Bieber: Never Say Never,Paramount Pictures,winter,99298917
K-19: The Widowmaker,Paramount Pictures,summer,59435552
K-9,Universal Pictures,spring,106821688
K-PAX,Universal Pictures,fall,86004475
Kangaroo Jack,Warner Bros.,winter,110442688
Kate & Leopold,Miramax,holiday season,50530280
Kazaam,Walt Disney Studios Motion Pictures,summer,36738288
Keeping the Faith,Walt Disney Studios Motion Pictures,spring,65574747
Kevin Hart: Let Me Explain,Lionsgate,summer,41917266
Kick-Ass,Lionsgate,spring,66338398
Kick-Ass 2,Universal Pictures,summer,37434780
Kickboxer,Cannon Film Distributors,fall,36301602
Kicking & Screaming,Universal Pictures,summer,82963076
Kidnap,Aviron Pictures,summer,38094379
Kill Bill: Vol. 1,Miramax,fall,115020851
Kill Bill: Vol. 2,Miramax,spring,107262087
Killers,Lionsgate,summer,64942748
Kindergarten Cop,Universal Pictures,holiday season,206870391
King Arthur,Walt Disney Studios Motion Pictures,summer,84049235
King Arthur: Legend of the Sword,Warner Bros.,summer,48185331
King Kong,Universal Pictures,holiday season,338823426
King Ralph,Universal Pictures,winter,75484539
King Richard,Warner Bros.,holiday season,16782201
King Solomon's Mines,Cannon Film Distributors,holiday season,42763200
King of the Mountain,Universal Pictures,spring,6161545
Kingdom Come,-,spring,39756899
Kingdom of Heaven,Twentieth Century Fox,summer,74415508
Kingpin,Metro-Goldwyn-Mayer (MGM),summer,48545461
Kingsman: The Golden Circle,Twentieth Century Fox,fall,123277593
Kingsman: The Secret Service,Twentieth Century Fox,winter,164175006
Kiss Me Goodbye,Twentieth Century Fox,holiday season,34076824
Kiss of Death,Twentieth Century Fox,spring,29735419
Kiss of the Dragon,Twentieth Century Fox,summer,63005162
Kiss of the Spider Woman,Island Alive,summer,22376707
Kiss the Girls,Paramount Pictures,fall,113792401
Knight and Day2010 Re-release,Twentieth Century Fox,summer,105463788
Knives Out,Lionsgate,holiday season,195292698
Knocked Up,Universal Pictures,summer,220177997
Knowing,Summit Entertainment,spring,113539840
Kong: Skull Island,Warner Bros.,spring,206704958
Kramer vs. Kramer,Columbia Pictures,holiday season,363625993
Krampus,Universal Pictures,holiday season,53076108
Krull,Columbia Pictures,summer,50549547
Krush Groove,Warner Bros.,fall,31389704
Kubo and the Two Strings,Focus Features,summer,60509090
Kuffs,Universal Pictures,winter,45879908
Kung Fu Panda,DreamWorks,summer,305917119
Kung Fu Panda 2,DreamWorks,summer,224738725
Kung Fu Panda 3,Twentieth Century Fox,winter,180846059
L.A. Confidential,Warner Bros.,fall,120486692
L.A. Story,TriStar Pictures,winter,64073819
La Bamba,Columbia Pictures,summer,145839469
La La Land,Lionsgate,holiday season,186784625
Labyrinth,TriStar Pictures,summer,34752673
Ladder 49,Walt Disney Studios Motion Pictures,fall,119458952
Lady Bird,A24,holiday season,38661928
Lady and the Tramp1986 Re-release,Walt Disney Studios Motion Pictures,holiday season,84321346
Lady in the Water,Warner Bros.,summer,63850605
Ladybugs,Paramount Pictures,spring,32108391
Ladyhawke,Warner Bros.,spring,52346880
Lake Placid,Twentieth Century Fox,summer,57822153
Lakeview Terrace,Screen Gems,fall,55754178
Lamb,A24,fall,3051107
Land of the Lost,Universal Pictures,summer,70202485
Lara Croft: Tomb Raider,Paramount Pictures,summer,224297399
Lara Croft: Tomb Raider - The Cradle of Life,Paramount Pictures,summer,108339323
Larry Crowne,Universal Pictures,summer,48427213
Lassiter,Warner Bros.,winter,51489548
Last Action Hero,Columbia Pictures,summer,105034427
Last Christmas,Universal Pictures,holiday season,41788575
Last Holiday,Paramount Pictures,winter,57983941
Last Man Standing,New Line Cinema,fall,35144898
Last Night in Soho,Focus Features,fall,11545492
Last Vegas,CBS Films,fall,81629073
Law Abiding Citizen,Overture Films,fall,103325202
Lawless,The Weinstein Company,summer,49368167
Lean on Me,Warner Bros.,spring,78808941
Leap of Faith,Paramount Pictures,holiday season,27052890
Leatherheads,Universal Pictures,spring,44550991
Leaving Las Vegas,Metro-Goldwyn-Mayer (MGM),fall,61159871
Legal Eagles,Universal Pictures,summer,136094843
Legally Blonde,Metro-Goldwyn-Mayer (MGM),summer,165050352
"Legally Blonde 2: Red, White & Blonde",Metro-Goldwyn-Mayer (MGM),summer,148807441
Legend,Universal Pictures,spring,42320765
Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros.,fall,76571249
Legends of the Fall,Sony Pictures Entertainment (SPE),holiday season,131993430
Legion,Screen Gems,winter,55431950
Les Misérables,Universal Pictures,holiday season,194912045
Less Than Zero,Twentieth Century Fox,holiday season,33346270
Let Him Go,Focus Features,holiday season,10843610
Let's Be Cops,Twentieth Century Fox,summer,105460190
Lethal Weapon,Warner Bros.,spring,175407171
Lethal Weapon 2,Warner Bros.,summer,363717345
Lethal Weapon 3,Warner Bros.,summer,314067413
Lethal Weapon 4,Warner Bros.,summer,241322515
Letters to Juliet,Summit Entertainment,summer,73184785
Leviathan,Metro-Goldwyn-Mayer (MGM),spring,38790396
Liar Liar,Universal Pictures,spring,341051956
Licence to Kill,United Artists,summer,85627527
License to Drive,Twentieth Century Fox,summer,58102182
License to Wed,Warner Bros.,summer,64823730
Licorice Pizza,United Artists Releasing,holiday season,18792618
Life,Sony Pictures Entertainment (SPE),spring,37187847
Life,Universal Pictures,spring,116509607
Life Is Beautiful,Miramax,fall,85377945
Life as We Know It,Warner Bros.,fall,72763733
Life of Pi,Twentieth Century Fox,holiday season,164195926
Life of the Party,Warner Bros.,summer,64202492
Lifeforce,TriStar Pictures,summer,32954067
Light of Day,TriStar Pictures,winter,28217069
Lightning Jack,-,spring,34483609
Lights Out,Warner Bros.,summer,84758732
Lightyear,Walt Disney Studios Motion Pictures,summer,125405619
Like Father Like Son,TriStar Pictures,fall,92475703
Like Mike,Twentieth Century Fox,summer,86921364
Like Water for Chocolate,Miramax,winter,45497482
Like a Boss,Paramount Pictures,winter,25716636
Lilo & Stitch,Walt Disney Studios Motion Pictures,summer,246392431
Limitless,Relativity Media,spring,107779258
Lincoln,Walt Disney Studios Motion Pictures,holiday season,239554146
Lion,The Weinstein Company,holiday season,57115302
Lionheart,Universal Pictures,winter,53453595
Little,Universal Pictures,spring,48623972
Little Fockers,Universal Pictures,holiday season,203567644
Little Giants,Warner Bros.,fall,39578042
Little Man,Revolution Studios,summer,88554028
Little Man Tate,Orion Pictures,fall,55524189
Little Miss Marker,Universal Pictures,spring,24337359
Little Miss Sunshine,-,summer,89828515
Little Nicky,New Line Cinema,holiday season,68677879
Little Shop of Horrors,Warner Bros.,holiday season,104802421
Little Women,Sony Pictures Entertainment (SPE),holiday season,227151595
Live Free or Die Hard,Twentieth Century Fox,summer,199103516
Loaded Weapon 1,New Line Cinema,winter,58756737
Local Hero,Warner Bros.,winter,18041028
Lock Up,TriStar Pictures,summer,54586622
Logan,Twentieth Century Fox,spring,278320793
Logan Lucky,Bleecker Street Media,summer,34170601
London Has Fallen,Focus Features,spring,78780567
Lone Survivor,Universal Pictures,holiday season,159881309
